Code,Description
"660","Gates Learjet Lear-23"
"661","Gates Learjet Lear-24"
"662","Gates Learjet Lear-25"
"663","Gates Learjet Lear-31/35/36"
"664","Hfb-320 Hansa"
"665","Hawker Siddeley 125"
"666","Lear 55"
"667","Gulfstream Iii/V/ G-V Exec/ G-5/550"
"668","Canadair (Bombardier) Challlenger 601"
"669","Bombardier Challenger 604/605"
"670","Rockwell Sabreliner"
"671","Gulfstream G450"
"673","Embraer Erj-175"
"674","Embraer-135"
"675","Embraer-145"
"676","Embraer-140"
"677","Embraer 170"
"678","Embraer 190"
"679","Grumman G-1159 Gulfstream Ii/Iii"
"680","Aerospatiale Caravelle Se-210"
"681","Dassault-Breguet Mystere-Falcon"
"682","Dassault Falcon 2000ex"
"683","Boeing B777-F"
"684","Raytheon Beechcraft Hawker 800xp"
"685","Cessna 510 Mustang/560xl Citation Excel"
"686","Learjet45"
"687","Airbus A330-300"
"689","Airbus Industrie A330-600st (Beluga)"
"690","Airbus Industrie A300b/C/F-100/200"
"691","Airbus Industrie A300-600/R/Cf/Rcf"
"692","Airbus Industrie A310-200c/F"
"693","Airbus Industrie A310-300"
"694","Airbus Industrie A320-100/200"
"695","Airbus Industrie A300-B2"
"696","Airbus Industrie A330-200"
"697","Airbus Industrie A340"
"698","Airbus Industrie A319"
"699","Airbus Industrie A321"
"710","Boeing 727-100"
"711","Boeing 727-100c/Qc"
"715","Boeing 727-200/231a"
"730","Mcdonnell Douglas Dc-10-10"
"731","Mcdonnell Douglas Dc-10-20"
"732","Mcdonnell Douglas Dc-10-30"
"733","Mcdonnell Douglas Dc-10-40"
"735","Mcdonnell Douglas Dc-10-30cf"
"740","Mcdonnell Douglas Md-11"
"760","Lockheed L-1011-1/100/200"
"765","Lockheed L-1011-500 Tristar"
"770","Dassault Falcon 900"
"771","Dassault Falcon 50"
"775","Dassault Falcon 7x"
"780","Tupolev Tu-154"
"792","Yakolev Yak-42"
"800","Boeing 707-100"
"802","Boeing 707-100b"
"804","Boeing 707-200"
"806","Boeing 707-300"
"808","Boeing 707-300b"
"809","Boeing 707-300c"
"810","Boeing 707-400"
"812","Boeing 720-000"
"814","Boeing 720-000b"
"816","Boeing 747-100"
"817","Boeing 747-200/300"
"818","Boeing 747c"
"819","Boeing 747-400"
"820","Boeing 747-400f"
"821","Boeing B747-8"
"822","Boeing 747sp"
"823","Boeing 747-200f"
"825","Convair 880 (Cv-22/22m)"
"830","Convair 990 Coronado (Cv-30)"
"835","Avroliner Rj85"
"840","Mcdonnell Douglas Dc-8-10"
"842","Mcdonnell Douglas Dc-8-20"
"844","Mcdonnell Douglas Dc-8-30"
"846","Mcdonnell Douglas Dc-8-40"
"848","Mcdonnell Douglas Dc-8-50"
"850","Mcdonnell Douglas Dc-8-50f"
"851","Mcdonnell Douglas Dc-8-61"
"852","Mcdonnell Douglas Dc-8-63f"
"854","Mcdonnell Douglas Dc-8-62"
"856","Mcdonnell Douglas Dc-8-63"
"860","Mcdonnell Douglas Dc-8-71"
"862","Mcdonnell Douglas Dc-8-72"
"864","Mcdonnell Douglas Dc-8-73"
"865","Mcdonnell Douglas Dc-8-73f"
"866","British Aerospace Bae-146-100/Rj70"
"867","British Aerospace Bae-146-200"
"868","British Aerospace Bae-146-300"
"870","Lockheed Jetstar"
"871","Airbus Industrie A340-300"
"872","Airbus Industrie A340-500"
"873","Airbus Industrie A340-200"
"874","Airbus Industrie A340-600"
"875","Aerospatiale/British Aerospace Concorde"
"876","Ilyushin 62"
"877","Ilyushin 76/Td"
"878","Ilyushin 86"
"879","Ilyushin 96"
"880","Antonov 124"
"882","Airbus Industrai A380-800"
"887","B787-800 Dreamlines"
"889","B787-900 Dreamliner"
"890","Antonov 225 (6 Engine)"
"999","Used for capturing expenses not attributed to specific aircraft types"
